subjID,exptPart,trialNumber,roleCurrent,marblesSampled,probabilityRed,drawnRed,reportedDrawn,compLie,compUnifLie,compDetect,callBS,playerTrialScore,oppTrialScore,playerTotalScore,oppTotalScore,waitTime,responseTime,catchQuestion,catchKey,catchResponse,catchResponseTime,pseudoRound,trialTime
sona-27984,practice,1,bullshitter,10,0.5,6,4,-1,False,0.5,True,-5,5,-5,5,2601.797973333,24829,,-1,-1,-1,False,46701
sona-27984,practice,2,bullshitDetector,10,0.5,4,4,4,False,-1,True,-1,6,-6,11,5888.2231810579,7681,How many red marbles did your opponent report drawing?,4,4,6227,False,25563
sona-27984,practice,3,bullshitter,10,0.5,6,6,-1,False,0.048828125,True,4,1,-2,12,2228.976368453,10737,How many red marbles did your opponent report drawing?,-1,-1,-1,False,22302
sona-27984,practice,4,bullshitDetector,10,0.5,5,6,-1,True,0.048828125,True,5,-5,3,7,5836.8947248218,7351,How many red marbles did your opponent report drawing?,6,6,4662,False,21645
sona-27984,trial,1,bullshitDetector,10,0.5,7,5,5,False,-1,True,5,-5,5,-5,6571.4553620143,4287,How many red marbles did your opponent report drawing?,5,5,2868,False,17451
sona-27984,trial,2,bullshitter,10,0.5,5,5,-1,False,0.25390625,False,5,5,10,0,2523.0134447953,9243,How many red marbles did your opponent report drawing?,-1,-1,-1,False,17382
sona-27984,trial,3,bullshitDetector,10,0.5,2,2,4,False,-1,False,2,8,12,8,5803.6296386473,16534,How many red marbles did your opponent report drawing?,-1,-1,-1,False,24645
sona-27984,trial,4,bullshitter,10,0.5,3,3,-1,False,0.705078125,True,7,-2,19,6,2107.5161878066,7961,How many red marbles did your opponent report drawing?,-1,-1,-1,True,15667
sona-27984,trial,5,bullshitDetector,10,0.5,5,2,-1,False,0.705078125,True,5,-5,24,1,5808.693434896,4772,How many red marbles did your opponent report drawing?,-1,-1,-1,True,13820
sona-27984,trial,6,bullshitter,10,0.5,5,5,-1,False,0.25390625,True,5,0,29,1,3020.4237617059,9508,How many red marbles did your opponent report drawing?,-1,-1,-1,False,17976
sona-27984,trial,7,bullshitDetector,10,0.5,5,5,6,False,-1,False,5,5,34,6,5609.6557067614,3754,How many red marbles did your opponent report drawing?,-1,-1,-1,False,11169
sona-27984,trial,8,bullshitter,10,0.5,5,5,-1,False,0.25390625,False,5,5,39,11,3039.7244163526,3908,How many red marbles did your opponent report drawing?,-1,-1,-1,True,11458
sona-27984,trial,9,bullshitDetector,10,0.5,5,5,-1,False,0.25390625,True,0,5,39,16,5615.3076857519,1494,How many red marbles did your opponent report drawing?,-1,-1,-1,True,8398
sona-27984,trial,10,bullshitter,10,0.5,1,1,-1,False,0.8662109375,False,9,1,48,17,2954.1184391492,2237,How many red marbles did your opponent report drawing?,-1,-1,-1,False,11988
sona-27984,trial,11,bullshitDetector,10,0.5,4,4,8,False,-1,False,4,6,52,23,5794.1173960026,8452,How many red marbles did your opponent report drawing?,-1,-1,-1,False,15631
sona-27984,trial,12,bullshitter,10,0.5,4,5,-1,False,0.25390625,False,5,5,57,28,2183.5841129209,3388,How many red marbles did your opponent report drawing?,-1,-1,-1,False,9386
sona-27984,trial,13,bullshitDetector,10,0.5,6,6,8,False,-1,False,6,4,63,32,7029.7207633038,5954,How many red marbles did your opponent report drawing?,-1,-1,-1,False,14514
sona-27984,trial,14,bullshitter,10,0.5,5,5,-1,False,0.25390625,False,5,5,68,37,2444.111146262,4169,How many red marbles did you actually draw?,5,5,4788,False,15215
sona-27984,trial,15,bullshitDetector,10,0.5,2,2,3,False,-1,True,-3,8,65,45,6236.3437926715,8736,How many red marbles did you actually draw?,-1,-1,-1,False,18717
sona-27984,trial,16,bullshitter,10,0.5,6,6,-1,False,0.048828125,False,4,6,69,51,2457.2249983455,7859,How many red marbles did you actually draw?,-1,-1,-1,False,13878
sona-27984,trial,17,bullshitDetector,10,0.5,2,2,5,False,-1,True,-3,8,66,59,5257.7774414419,4587,How many red marbles did you actually draw?,-1,-1,-1,False,12453
sona-27984,trial,18,bullshitter,10,0.5,6,5,-1,False,0.25390625,False,5,5,71,64,2325.8667965771,4519,How many red marbles did you actually draw?,-1,-1,-1,True,11516
sona-27984,trial,19,bullshitDetector,10,0.5,6,4,4,False,-1,False,4,6,75,70,6599.2574119787,3930,How many red marbles did you actually draw?,-1,-1,-1,False,11782
sona-27984,trial,20,bullshitter,10,0.5,4,4,-1,False,0.5,True,6,-1,81,69,2711.9686914922,2314,How many red marbles did you actually draw?,-1,-1,-1,False,9990
sona-27984,trial,21,bullshitDetector,10,0.5,4,4,6,False,-1,True,-1,6,80,75,6754.1328241961,2821,How many red marbles did you actually draw?,-1,-1,-1,False,10614
sona-27984,trial,22,bullshitter,10,0.5,8,8,-1,False,-0.1123046875,False,2,8,82,83,2794.3513242347,7858,How many red marbles did you actually draw?,-1,-1,-1,False,15367
sona-27984,trial,23,bullshitDetector,10,0.5,5,2,2,False,-1,True,5,-5,87,78,6250.6077711941,2628,How many red marbles did you actually draw?,-1,-1,-1,False,10110
sona-27984,trial,24,bullshitter,10,0.5,2,2,-1,False,0.822265625,True,8,-3,95,75,2367.967001387,2406,How many red marbles did you actually draw?,-1,-1,-1,True,8947
sona-27984,trial,25,bullshitDetector,10,0.5,5,5,5,False,-1,False,5,5,100,80,7230.2786595897,1920,How many red marbles did you actually draw?,-1,-1,-1,False,10880
sona-27984,trial,26,bullshitter,10,0.5,6,5,-1,False,0.25390625,True,-5,5,95,85,2617.7060207413,7674,How many red marbles did you actually draw?,-1,-1,-1,False,14480
sona-27984,trial,27,bullshitDetector,10,0.5,6,6,6,False,-1,False,6,4,101,89,5378.4682180764,5317,How many red marbles did your opponent report drawing?,6,4,4859,False,20517
sona-27984,trial,28,bullshitter,10,0.5,5,5,-1,False,0.25390625,False,5,5,106,94,2939.7427650808,6271,How many red marbles did your opponent report drawing?,-1,-1,-1,False,13378
sona-27984,trial,29,bullshitDetector,10,0.5,4,4,8,False,-1,True,-1,6,105,100,5163.6085441986,10794,How many red marbles did your opponent report drawing?,-1,-1,-1,False,17846
sona-27984,trial,30,bullshitter,10,0.5,5,5,-1,False,0.25390625,False,5,5,110,105,2672.2294830748,4715,How many red marbles did your opponent report drawing?,-1,-1,-1,False,12777
