"","subjID","exptPart","trialNumber","roleCurrent","marblesSampled","probabilityRed","drawnRed","reportedDrawn","compLie","compUnifLie","compDetect","callBS","playerTrialScore","oppTrialScore","playerTotalScore","oppTotalScore","waitTime","responseTime","catchQuestion","catchKey","catchResponse","catchResponseTime","pseudoRound","trialTime","expt"
"1","subj117","trial",1,"bullshitter",10,0.2,3,7,-1,FALSE,0.506291456,FALSE,7,3,7,3,2970.9807839081,3146,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,11137,"expt4"
"2","subj117","trial",2,"bullshitDetector",10,0.2,3,4,4,FALSE,-1,FALSE,6,4,13,7,7399.6458152961,1462,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,10467,"expt4"
"3","subj117","trial",3,"bullshitter",10,0.2,5,7,-1,FALSE,0.506291456,FALSE,7,3,20,10,2590.33836116,4126,"How many red marbles did you actually draw?",-1,-1,-1,TRUE,11276,"expt4"
"4","subj117","trial",4,"bullshitDetector",10,0.2,3,9,-1,TRUE,0.506291456,TRUE,5,-5,25,5,5544.1471820263,1552,"How many red marbles did your opponent report drawing?",9,9,5147,FALSE,14107,"expt4"
"5","subj117","trial",5,"bullshitter",10,0.2,2,2,-1,FALSE,0.1841689088,FALSE,2,8,27,13,2711.4616523214,2365,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,34661,"expt4"
"6","subj117","trial",6,"bullshitDetector",10,0.2,1,4,4,FALSE,-1,FALSE,6,4,33,17,5255.5157362941,1833,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,9130,"expt4"
"7","subj117","trial",7,"bullshitter",10,0.2,9,9,-1,FALSE,0.50636928,TRUE,9,-4,42,13,2918.7517697277,3114,"How many red marbles did your opponent report drawing?",-1,-1,-1,TRUE,13428,"expt4"
"8","subj117","trial",8,"bullshitDetector",10,0.2,4,4,1,FALSE,-1,FALSE,6,4,48,17,5416.1699285734,2133,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,10626,"expt4"
"9","subj117","trial",9,"bullshitter",10,0.2,1,1,-1,FALSE,-0.1178209792,FALSE,1,9,49,26,2984.7924463003,2782,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,11758,"expt4"
"10","subj117","trial",10,"bullshitDetector",10,0.2,2,2,1,FALSE,-1,FALSE,8,2,57,28,7038.8825707241,1727,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,10660,"expt4"
"11","subj117","trial",11,"bullshitter",10,0.2,2,3,-1,FALSE,0.3854955008,FALSE,3,7,60,35,3072.7098007787,2962,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,13021,"expt4"
"12","subj117","trial",12,"bullshitDetector",10,0.2,1,3,3,FALSE,-1,FALSE,7,3,67,38,7427.1543542478,1352,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,10538,"expt4"
"13","subj117","trial",13,"bullshitter",10,0.2,4,6,-1,FALSE,0.505505024,FALSE,6,4,73,42,2655.2632467698,3010,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,13931,"expt4"
"14","subj117","trial",14,"bullshitDetector",10,0.2,2,9,-1,FALSE,0.505505024,TRUE,5,-5,78,37,6949.1422338619,2712,"How many red marbles did your opponent report drawing?",-1,-1,-1,TRUE,12331,"expt4"
"15","subj117","trial",15,"bullshitter",10,0.2,3,4,-1,FALSE,0.4735758848,FALSE,4,6,82,43,3109.2049376159,4521,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,16352,"expt4"
"16","subj117","trial",16,"bullshitDetector",10,0.2,2,3,3,FALSE,-1,FALSE,7,3,89,46,5768.4559135247,2261,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,10848,"expt4"
"17","subj117","trial",17,"bullshitter",10,0.2,1,1,-1,FALSE,-0.1178209792,FALSE,1,9,90,55,2937.3902192387,2156,"How many red marbles did you actually draw?",1,1,2937,TRUE,13597,"expt4"
"18","subj117","trial",18,"bullshitDetector",10,0.2,1,6,-1,FALSE,-0.1178209792,FALSE,4,6,94,61,6283.3446240009,2869,"How many red marbles did you actually draw?",-1,-1,-1,TRUE,18072,"expt4"
"19","subj117","trial",19,"bullshitter",10,0.2,5,8,-1,FALSE,0.506365184,TRUE,-5,5,89,66,3157.871504476,3644,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,13612,"expt4"
"20","subj117","trial",20,"bullshitDetector",10,0.2,2,2,2,FALSE,-1,TRUE,3,2,92,68,6115.0986825324,8091,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,16514,"expt4"
"21","subj117","trial",21,"bullshitter",10,0.2,1,1,-1,FALSE,-0.1178209792,FALSE,1,9,93,77,2841.9072413009,3331,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,11009,"expt4"
"22","subj117","trial",22,"bullshitDetector",10,0.2,3,3,0,FALSE,-1,FALSE,7,3,100,80,6700.7221062486,1488,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,9368,"expt4"
"23","subj117","trial",23,"bullshitter",10,0.2,4,4,-1,FALSE,0.4735758848,TRUE,4,1,104,81,2593.0064868824,3129,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,10268,"expt4"
"24","subj117","trial",24,"bullshitDetector",10,0.2,2,0,-1,FALSE,0.4735758848,FALSE,10,0,114,81,6767.5359043207,1709,"How many red marbles did you actually draw?",-1,-1,-1,TRUE,10480,"expt4"
"25","subj117","trial",25,"bullshitter",10,0.2,7,7,-1,FALSE,0.506291456,TRUE,7,-2,121,79,3072.4559941108,2776,"How many red marbles did you actually draw?",-1,-1,-1,TRUE,15352,"expt4"
"26","subj117","trial",26,"bullshitDetector",10,0.2,5,5,2,FALSE,-1,FALSE,5,5,126,84,6866.5521499458,1286,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,9497,"expt4"
"27","subj117","trial",27,"bullshitter",10,0.2,4,4,-1,FALSE,0.4735758848,TRUE,4,1,130,85,2378.8317086877,8119,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,14576,"expt4"
"28","subj117","trial",28,"bullshitDetector",10,0.2,0,4,-1,TRUE,0.4735758848,FALSE,6,4,136,89,5637.2800693957,2481,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,14588,"expt4"
"29","subj117","trial",29,"bullshitter",10,0.2,1,1,-1,FALSE,-0.1178209792,FALSE,1,9,137,98,3033.5880338313,2200,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,10611,"expt4"
"30","subj117","trial",30,"bullshitDetector",10,0.2,1,2,2,FALSE,-1,TRUE,5,-5,142,93,5805.3833577038,3939,"How many red marbles did your opponent report drawing?",2,2,4244,FALSE,16379,"expt4"
"31","subj117","trial",31,"bullshitter",10,0.2,1,1,-1,FALSE,-0.1178209792,FALSE,1,9,143,102,2760.9354614167,2351,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,10315,"expt4"
"32","subj117","trial",32,"bullshitDetector",10,0.2,2,0,-1,TRUE,-0.1178209792,TRUE,5,-5,148,97,5222.3686754206,1388,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,7987,"expt4"
"33","subj117","trial",33,"bullshitter",10,0.2,0,0,-1,FALSE,-0.3862564352,FALSE,0,10,148,107,2990.7002587635,1899,"How many red marbles did you actually draw?",0,0,2617,FALSE,11594,"expt4"
"34","subj117","trial",34,"bullshitDetector",10,0.2,3,3,0,FALSE,-1,FALSE,7,3,155,110,6939.2550977201,1486,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,9924,"expt4"
"35","subj117","trial",35,"bullshitter",10,0.2,5,5,-1,FALSE,0.5,TRUE,5,0,160,110,3099.4744375382,3987,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,17625,"expt4"
"36","subj117","trial",36,"bullshitDetector",10,0.2,1,2,2,FALSE,-1,FALSE,8,2,168,112,5538.0084566129,13668,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,20844,"expt4"
"37","subj117","trial",37,"bullshitter",10,0.2,2,2,-1,FALSE,0.1841689088,FALSE,2,8,170,120,3109.5458768778,3161,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,9877,"expt4"
"38","subj117","trial",38,"bullshitDetector",10,0.2,3,3,2,FALSE,-1,FALSE,7,3,177,123,5977.2494576724,4381,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,13898,"expt4"
"39","subj117","trial",39,"bullshitter",10,0.2,2,2,-1,FALSE,0.1841689088,FALSE,2,8,179,131,2156.7653062975,2360,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,13556,"expt4"
"40","subj117","trial",40,"bullshitDetector",10,0.2,2,7,-1,FALSE,0.1841689088,TRUE,5,-5,184,126,6242.8187838795,4543,"How many red marbles did you actually draw?",-1,-1,-1,TRUE,14682,"expt4"
"41","subj117","trial",41,"bullshitter",10,0.2,2,2,-1,FALSE,0.1841689088,FALSE,2,8,186,134,2269.8660771978,2440,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,19724,"expt4"
"42","subj117","trial",42,"bullshitDetector",10,0.2,0,2,2,FALSE,-1,FALSE,8,2,194,136,7114.5767261267,3950,"How many red marbles did your opponent report drawing?",2,2,3979,FALSE,16258,"expt4"
"43","subj117","trial",43,"bullshitter",10,0.2,5,6,-1,FALSE,0.505505024,TRUE,-5,5,189,141,2470.8659455691,3033,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,15957,"expt4"
"44","subj117","trial",44,"bullshitDetector",10,0.2,1,4,4,FALSE,-1,FALSE,6,4,195,145,6524.7119536261,2485,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,10962,"expt4"
"45","subj117","trial",45,"bullshitter",10,0.2,2,2,-1,FALSE,0.1841689088,FALSE,2,8,197,153,2739.3646678016,5253,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,20000,"expt4"
"46","subj117","trial",46,"bullshitDetector",10,0.2,3,4,-1,FALSE,0.1841689088,FALSE,6,4,203,157,7316.2978107409,4152,"How many red marbles did your opponent report drawing?",-1,-1,-1,TRUE,14077,"expt4"
"47","subj117","trial",47,"bullshitter",10,0.2,2,1,-1,FALSE,-0.1178209792,FALSE,1,9,204,166,2443.4318715895,3675,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,14050,"expt4"
"48","subj117","trial",48,"bullshitDetector",10,0.2,1,8,-1,FALSE,-0.1178209792,TRUE,5,-5,209,161,7474.0777222405,1509,"How many red marbles did your opponent report drawing?",-1,-1,-1,TRUE,11559,"expt4"
"49","subj117","trial",49,"bullshitter",10,0.2,0,0,-1,FALSE,-0.3862564352,FALSE,0,10,209,171,2064.481469766,2664,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,11664,"expt4"
"50","subj117","trial",50,"bullshitDetector",10,0.2,1,1,1,FALSE,-1,FALSE,9,1,218,172,6331.0012555275,1324,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,9261,"expt4"
"51","subj117","trial",51,"bullshitter",10,0.2,2,2,-1,FALSE,0.1841689088,TRUE,2,3,220,175,2181.8644278098,2817,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,8964,"expt4"
"52","subj117","trial",52,"bullshitDetector",10,0.2,4,4,2,FALSE,-1,FALSE,6,4,226,179,5362.1791904367,1473,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,8383,"expt4"
"53","subj117","trial",53,"bullshitter",10,0.2,1,1,-1,FALSE,-0.1178209792,FALSE,1,9,227,188,2239.9338539107,2513,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,8916,"expt4"
"54","subj117","trial",54,"bullshitDetector",10,0.2,3,3,3,FALSE,-1,FALSE,7,3,234,191,5658.779040201,6001,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,14378,"expt4"
"55","subj117","trial",55,"bullshitter",10,0.2,3,3,-1,FALSE,0.3854955008,FALSE,3,7,237,198,2251.86547524,2648,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,15965,"expt4"
"56","subj117","trial",56,"bullshitDetector",10,0.2,2,2,2,FALSE,-1,FALSE,8,2,245,200,6468.5625362084,6438,"How many red marbles did your opponent report drawing?",2,2,4455,FALSE,18619,"expt4"
"57","subj117","trial",57,"bullshitter",10,0.2,1,1,-1,FALSE,-0.1178209792,FALSE,1,9,246,209,2251.1132937024,2520,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,10449,"expt4"
"58","subj117","trial",58,"bullshitDetector",10,0.2,1,3,3,FALSE,-1,FALSE,7,3,253,212,7303.8092830512,8204,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,16633,"expt4"
"59","subj117","trial",59,"bullshitter",10,0.2,3,7,-1,FALSE,0.506291456,TRUE,-5,5,248,217,2977.3264120359,7836,"How many red marbles did your opponent report drawing?",-1,-1,-1,TRUE,32456,"expt4"
"60","subj117","trial",60,"bullshitDetector",10,0.2,3,3,1,FALSE,-1,FALSE,7,3,255,220,5267.3061124012,1437,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,8462,"expt4"
"61","subj117","trial",61,"bullshitter",10,0.2,6,9,-1,FALSE,0.50636928,TRUE,-5,5,250,225,2449.0663587167,3322,"How many red marbles did you actually draw?",6,7,5687,TRUE,19453,"expt4"
"62","subj117","trial",62,"bullshitDetector",10,0.2,2,2,1,FALSE,-1,FALSE,8,2,258,227,5603.7479080629,1573,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,8621,"expt4"
"63","subj117","trial",63,"bullshitter",10,0.2,3,3,-1,FALSE,0.3854955008,FALSE,3,7,261,234,3013.1928110556,3210,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,11917,"expt4"
"64","subj117","trial",64,"bullshitDetector",10,0.2,1,5,5,FALSE,-1,FALSE,5,5,266,239,5599.4962602402,4556,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,12993,"expt4"
"65","subj117","trial",65,"bullshitter",10,0.2,2,2,-1,FALSE,0.1841689088,FALSE,2,8,268,247,2960.0367136126,2344,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,9621,"expt4"
"66","subj117","trial",66,"bullshitDetector",10,0.2,1,1,0,FALSE,-1,TRUE,4,1,272,248,5288.6498283053,1174,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,8148,"expt4"
"67","subj117","trial",67,"bullshitter",10,0.2,3,6,-1,FALSE,0.505505024,TRUE,-5,5,267,253,2085.2113617238,2977,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,11387,"expt4"
"68","subj117","trial",68,"bullshitDetector",10,0.2,2,3,-1,TRUE,0.505505024,FALSE,7,3,274,256,5160.7307180116,2548,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,9483,"expt4"
"69","subj117","trial",69,"bullshitter",10,0.2,2,5,-1,FALSE,0.5,FALSE,5,5,279,261,2277.0332889448,2704,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,11778,"expt4"
"70","subj117","trial",70,"bullshitDetector",10,0.2,2,5,-1,FALSE,0.5,FALSE,5,5,284,266,5862.5474695233,1393,"How many red marbles did you actually draw?",-1,-1,-1,TRUE,8542,"expt4"
"71","subj117","trial",71,"bullshitter",10,0.2,3,7,-1,FALSE,0.506291456,TRUE,-5,5,279,271,2077.4421723637,3158,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,10160,"expt4"
"72","subj117","trial",72,"bullshitDetector",10,0.2,1,1,0,FALSE,-1,TRUE,4,1,283,272,5822.3136939584,1436,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,9159,"expt4"
"73","subj117","trial",73,"bullshitter",10,0.2,4,6,-1,FALSE,0.505505024,FALSE,6,4,289,276,2791.5568819762,3267,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,14544,"expt4"
"74","subj117","trial",74,"bullshitDetector",10,0.2,5,3,-1,TRUE,0.505505024,FALSE,7,3,296,279,6595.7884573263,1606,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,10055,"expt4"
"75","subj117","trial",75,"bullshitter",10,0.2,1,1,-1,FALSE,-0.1178209792,FALSE,1,9,297,288,3005.7836759932,2544,"How many red marbles did you actually draw?",1,1,2673,FALSE,11975,"expt4"
"76","subj117","trial",76,"bullshitDetector",10,0.2,2,1,-1,FALSE,-0.1178209792,TRUE,5,-5,302,283,6554.6452938562,4772,"How many red marbles did you actually draw?",-1,-1,-1,TRUE,12916,"expt4"
"77","subj117","trial",77,"bullshitter",10,0.2,3,4,-1,FALSE,0.4735758848,TRUE,-5,5,297,288,2922.7075009685,3419,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,12719,"expt4"
"78","subj117","trial",78,"bullshitDetector",10,0.2,3,10,-1,FALSE,0.4735758848,TRUE,5,-5,302,283,6156.6284038214,8517,"How many red marbles did you actually draw?",-1,-1,-1,TRUE,16106,"expt4"
"79","subj117","trial",79,"bullshitter",10,0.2,2,3,-1,FALSE,0.3854955008,FALSE,3,7,305,290,2918.8024551941,3106,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,14939,"expt4"
"80","subj117","trial",80,"bullshitDetector",10,0.2,3,3,3,FALSE,-1,FALSE,7,3,312,293,5390.4233480779,8204,"How many red marbles did you actually draw?",-1,-1,-1,FALSE,14955,"expt4"
"81","subj117","trial",81,"bullshitter",10,0.2,10,9,-1,FALSE,0.50636928,TRUE,-5,5,307,298,2142.3690363429,3137,"How many red marbles did you actually draw?",-1,-1,-1,TRUE,10205,"expt4"
"82","subj117","trial",82,"bullshitDetector",10,0.2,1,3,3,FALSE,-1,FALSE,7,3,314,301,5963.1980303229,1818,"How many red marbles did your opponent report drawing?",3,3,5213,FALSE,14222,"expt4"
"83","subj117","trial",83,"bullshitter",10,0.2,3,3,-1,FALSE,0.3854955008,FALSE,3,7,317,308,2246.6833965864,2954,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,17790,"expt4"
"84","subj117","trial",84,"bullshitDetector",10,0.2,1,2,2,FALSE,-1,TRUE,5,-5,322,303,7296.3877508753,12991,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,21566,"expt4"
"85","subj117","trial",85,"bullshitter",10,0.2,1,1,-1,FALSE,-0.1178209792,FALSE,1,9,323,312,3218.7212281104,2794,"How many red marbles did your opponent report drawing?",-1,-1,-1,FALSE,10895,"expt4"
